Movie Name,Storyline
The Ministry of Ungentlemanly Warfare,The British military recruits a small group of highly skilled soldiers to strike against German forces behind enemy lines during World War II.
Anora,"A young stripper from Brooklyn impulsively marries the son of Russian oligarchs, but her fairy tale is threatened when his parents set out for New York to get the marriage annulled."
The Substance,"A fading celebrity takes a black-market drug: a cell-replicating substance that helps her create a younger, better version of herself."
Deadpool & Wolverine,"Deadpool is offered a place in the Marvel Cinematic Universe by the Time Variance Authority, but instead recruits a variant of Wolverine to save his universe from extinction."
Dune: Part Two,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future."
Gladiator II,"After his home is conquered by the tyrannical emperors who now lead Rome, Lucius is forced to enter the Colosseum and must look to his past to find strength to return the glory of Rome to its people."
The Wild Robot,A sentient robot stranded on an uninhabited island raises an orphaned gosling while trying to fit in with the local wildlife.
Trap,A father and his teen daughter attend a pop concert only to realize they've entered the center of a dark and sinister event.
Venom: The Last Dance,Eddie Brock and Venom must make a devastating decision as they're pursued by a mysterious military man and alien monsters from Venom's home world.
Speak No Evil,"A family is invited to spend a whole weekend in a lonely home in the countryside, but as the weekend progresses, they realize that a dark side lies within the family who invited them."
Nosferatu,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake."
Ordinary Angels,Inspired by the incredible true story of a hairdresser who single-handedly rallies an entire community to help a widowed father save the life of his critically ill young daughter.
Heretic,Two young Mormon women are drawn into a game of cat-and-mouse in the house of a strange man.
The Life of Chuck,"A life-affirming, genre-bending story about three chapters in the life of an ordinary man named Charles Krantz."
The Fall Guy,"A stuntman, fresh off an almost career-ending accident, has to track down a missing movie star, solve a conspiracy and try to win back the love of his life while still doing his day job."
The Idea of You,"Solène, a 40-year-old single mom, begins an unexpected romance with 24-year-old Hayes Campbell, the lead singer of August Moon, the hottest boy band on the planet."
Challengers,"Tashi, a former tennis prodigy-turned-coach, transformed her husband into a champion. But to overcome a recent losing streak and redeem himself, he'll need to face off against his former best friend--Tashi's ex-boyfriend."
Alien: Romulus,"While scavenging the deep ends of a derelict space station, a group of young space colonists come face to face with the most terrifying life form in the universe."
Road House,"Ex-UFC fighter Dalton takes a job as a bouncer at a Florida Keys roadhouse, only to discover that this paradise is not all it seems."
The Brutalist,A visionary architect flees post-war Europe in 1947 for a brighter future in the United States and finds his life forever changed by a wealthy client.
Rebel Ridge,A former Marine grapples his way through a web of small-town corruption when an attempt to post bail for his cousin escalates into a violent standoff with the local police chief.
The Beekeeper,A former operative of a powerful organization embarks on a brutal campaign for vengeance.
Twisters,"Kate Carter, a retired tornado-chaser and meteorologist, is persuaded to return to Oklahoma to work with a new team and new technologies."
The Order,A series of bank robberies and car heists frightens communities in the Pacific Northwest. A lone FBI agent believes that the crimes were not the work of financially motivated criminals but rather a group of dangerous domestic terrorists.
Arthur the King,An adventure racer adopts a stray dog named Arthur to join him in an epic endurance race.
The Return,"After 20 years Odysseus finally returns to Ithaca, where he finds his wife held prisoner by suitors vying to be king and his son facing death at their hands. To win back his family and all he has lost, Odysseus must rediscover his strength."
We Live in Time,"After an unusual encounter, a talented chef and a recent divorcée fall in love and build the home and family they've always dreamed of, until a painful truth puts their love story to the test."
Smile 2,"About to embark on a world tour, global pop sensation Skye Riley begins experiencing increasingly terrifying and inexplicable events. Overwhelmed by the escalating horrors and the pressures of fame, Skye is forced to face her past."
Kraven the Hunter,"Kraven's complex relationship with his ruthless father, Nikolai Kravinoff, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared."
Longlegs,"In pursuit of a serial killer, an FBI agent uncovers a series of occult clues that she must solve to end his terrifying killing spree."
Furiosa: A Mad Max Saga,"After being snatched from the Green Place of Many Mothers, while the tyrants Dementus and Immortan Joe fight for power and control, the young Furiosa must survive many trials as she puts together the means to find her way home."
Subservience,"A family man buys a domestic android after his wife's hospitalization. The android develops obsessive attachment, manipulates the household, eliminates perceived rivals, and ultimately attempts to claim his wife's heart literally."
Wicked,"Elphaba, a young woman ridiculed for her green skin, and Galinda, a popular girl, become friends at Shiz University in the Land of Oz. After an encounter with the Wonderful Wizard of Oz, their friendship reaches a crossroads."
Babygirl,A high-powered CEO puts her career and family on the line when she begins a torrid affair with her much-younger intern.
I Saw the TV Glow,"In late-90s suburbia, a lonely teenager meets a girl at school who introduces him to a mysterious late-night T.V. show. As time goes on, however, questions begin to arise about why the show sometimes seems more real than their own lives."
Eden,"Based on a factual account of a group of outsiders who settle on a remote island only to discover their greatest threat isn't the brutal climate or deadly wildlife, but each other."
Juror #2,"While serving as a juror in a high-profile murder trial, a family man finds himself struggling with a serious moral dilemma, one he could use to sway the jury verdict and potentially convict or free the wrong killer."
Greedy People,Follows the residents of a small island town who must navigate a sensational murder and the discovery of a million dollars; a series of increasingly bad decisions upend the once peaceful community.
Stream,"The Keenan family's simple weekend getaway truly turns into a vacation to die for, as four deranged killers playing a sadistic game lock down their hotel and compete for the most creative murders of all the guests."
Civil War,"In the midst of a U.S. civil war, four reporters make the dangerous trip to the capital to interview the president before he is overthrown."
The Last Stand of Ellen Cole,Follow a nefarious land developer who gets more than he bargained for when he tries to intimidate an 80-year-old widow into abandoning her Montana ranch.
We Bury the Dead,"After a military catastrophe leaves Tasmania filled with partially reanimated corpses, a volunteer searching for her missing husband abandons recovery operations and travels south through isolated communities collapsing beneath guilt."
It Ends with Us,"When a woman's first love suddenly reenters her life, her relationship with a charming, but abusive neurosurgeon is upended and she realizes she must learn to rely on her own strength to make an impossible choice for her future."
Blink Twice,"When tech billionaire Slater King meets cocktail waitress Frida at his fundraising gala, he invites her to join him and his friends on a dream vacation on his private island. As strange things start to happen, Frida questions her reality."
MaXXXine,"In 1980s Hollywood, adult film star and aspiring actress Maxine Minx finally gets her big break. But as a mysterious killer stalks the starlets of Hollywood, a trail of blood threatens to reveal her sinister past."
Transformers One,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but who once were friends bonded like brothers who changed the fate of Cybertron forever."
The Count of Monte Cristo,"After escaping from an island prison where he spent 14 years for being wrongly accused of state treason, Edmond Dantès returns as the count of Monte Cristo to exact revenge on the men who betrayed him."
Beetlejuice Beetlejuice,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Beetlejuice, Lydia's life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife."
Borderlands,"An infamous bounty hunter returns to her childhood home, the chaotic planet Pandora, and forms an unlikely alliance with a team of misfits to find the missing daughter of the most powerful man in the universe."
Attack on Titan: The Last Attack,"The fate of the world hangs in the balance as Eren unleashes the ultimate power of the Titans. With a burning determination to eliminate all who threaten Eldia, he leads an unstoppable army of Colossal Titans towards Marley."
